;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2014-01-01 00:00:00;;;;;;;;;;;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
2014-01-01 00:15:00;;;;;;;;;;;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
2014-01-01 00:30:00;;;;;;;;;;;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
2014-01-01 00:45:00;;;;;;;;;;;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
2014-01-01 01:00:00;;;;;;;;;;;291.15;291.15;291.417737524;291.15;291.15;291.417737524;291.15;291.15;291.417737524;291.15
2014-01-01 01:15:00;;;;;;;;;;;291.15;291.15;291.206605787;291.15;291.15;291.206605787;291.15;291.15;291.206605787;291.15
2014-01-01 01:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 01:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 02:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 02:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 02:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 02:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 03:00:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 03:15:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 03:30:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
2014-01-01 03:45:00;;;;;;;;;;;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
